KoordID,x,y,whinchat,ptarmigan,dipper,elev.birds,prec.birds,temp.birds,est.slope,forest.edge.sum,forest.sum,grassland.sum,water.dist,buildings.sum
695158,695000,158000,0,1,1,2379.80004882812,501.664288934133,8.84059310650367,13.5726864117343,0,0,48.85953125,3162.27766016838,2
695174,695000,174000,0,1,0,2574.10009765625,586.968853527746,7.26024484246359,1.8152388504071,0,0,8.93140625,4242.64068711928,0
695190,695000,190000,0,0,0,1235,595.239441107923,,12.9074011466374,30.72359375,60.31875,33.49578125,4000,34
695206,695000,206000,0,0,1,866.599975585938,676.555758778516,16.8819518152956,10.5641823695451,34.05453125,70.73421875,24.77140625,6708.20393249937,15
695222,695000,222000,1,0,1,908.799987792969,524.39781447452,,1.27344093353723,10.86484375,26.04265625,47.7246875,3000,8
695238,695000,238000,0,0,0,524.5,397.203169759708,18.7531619806249,4.78292782220819,10.556875,11.63734375,40.94546875,2236.06797749979,101
695254,695000,254000,0,0,1,523.200012207031,389.547704247362,18.6570520382355,1.89950447879695,26.3215625,27.4521875,15.78875,3605.55127546399,115
695270,695000,270000,0,0,0,447.100006103516,320.823948503405,18.989358728739,1.10995285667629,16.9796875,22.036875,13.3471875,2000,32
695286,695000,286000,0,0,0,475.100006103516,287.950114312059,18.7703187457247,1.34012862468332,21.56609375,56.109375,1.13875,3000,11
701118,701000,118000,0,0,0,753.299987792969,547.676950848015,19.2029034133971,19.1340905293449,27.5021875,68.59765625,11.0125,1000,50
701126,701000,126000,0,0,0,2106.10009765625,758.67658262666,11.1683223757719,5.23167730179238,8.1965625,15.1071875,46.934375,5000,3
701134,701000,134000,0,0,0,1110.59997558594,462.77925815793,,7.72743327947,19.8925,61.69,22.66203125,7280.10988928052,6
701142,701000,142000,0,1,0,2546,666.106223927267,,2.61173670292008,0,0.05484375,42.11453125,5656.85424949238,0
701150,701000,150000,0,0,0,1097.80004882812,341.817455931009,,25.082900933476,22.32515625,83.17453125,8.70125,1000,13
701158,701000,158000,0,1,0,2487,415.684769439314,7.81544973953778,13.1454892020047,0,0,50.1390625,2000,0
701166,701000,166000,0,0,1,1810.30004882812,358.626370864655,11.464162943648,7.06311451582948,1.21484375,30.66765625,35.9259375,1000,0
701182,701000,182000,0,0,0,1611.40002441406,379.571434192314,12.682140154901,20.2784305463635,21.29546875,45.14125,37.58484375,7280.10988928052,14
